video_id,channel_id,title,published_at,is_short
iCSg_ul3G2w,UCBJycsmduvYEL83R_U4JriQ,Google Pixel 10A Impressions: (Never) Seen This Before,2026-02-18T15:00:48Z,false
zPAY2VxfFBk,UCBJycsmduvYEL83R_U4JriQ,The Problem with these Smartphone Batteries,2026-02-06T21:03:37Z,false
Qr4anBkL2_A,UCBJycsmduvYEL83R_U4JriQ,This is NOT an iPhone,2026-01-30T19:34:19Z,false
LXmNeVLM4e4,UCBJycsmduvYEL83R_U4JriQ,PSA: You look like this,2026-01-27T17:36:20Z,true
vZdbbN3FCzE,UCBJycsmduvYEL83R_U4JriQ,The Downfall of OnePlus will be Studied,2026-01-26T19:13:01Z,false
